"workerid","rt","interval","trialNum","person","action","n_times"
0,13923,"week",1,"Jim","wears socks",7
0,13923,"week",1,"Bill","wears socks",7
0,13923,"week",1,"Dave","wears socks",7
0,13923,"week",1,"Steve","wears socks",7
0,13923,"week",1,"Nick","wears socks",7
0,13923,"week",1,"Kevin","wears socks",7
0,13923,"week",1,"Lou","wears socks",7
0,13923,"week",1,"Arnold","wears socks",7
0,10350,"week",2,"Jim","volunteers for political campaigns",0
0,10350,"week",2,"Bill","volunteers for political campaigns",0
0,10350,"week",2,"Dave","volunteers for political campaigns",0
0,10350,"week",2,"Steve","volunteers for political campaigns",0
0,10350,"week",2,"Nick","volunteers for political campaigns",0
0,10350,"week",2,"Kevin","volunteers for political campaigns",0
0,10350,"week",2,"Lou","volunteers for political campaigns",0
0,10350,"week",2,"Arnold","volunteers for political campaigns",0
0,9106,"week",3,"Jim","watches professional football",1
0,9106,"week",3,"Bill","watches professional football",2
0,9106,"week",3,"Dave","watches professional football",0
0,9106,"week",3,"Steve","watches professional football",1
0,9106,"week",3,"Nick","watches professional football",0
0,9106,"week",3,"Kevin","watches professional football",0
0,9106,"week",3,"Lou","watches professional football",0
0,9106,"week",3,"Arnold","watches professional football",1
0,29754,"week",4,"Jim","runs",3
0,29754,"week",4,"Bill","runs",4
0,29754,"week",4,"Dave","runs",0
0,29754,"week",4,"Steve","runs",5
0,29754,"week",4,"Nick","runs",0
0,29754,"week",4,"Kevin","runs",0
0,29754,"week",4,"Lou","runs",0
0,29754,"week",4,"Arnold","runs",0
0,6060,"week",5,"Jim","smokes cigarettes",0
0,6060,"week",5,"Bill","smokes cigarettes",0
0,6060,"week",5,"Dave","smokes cigarettes",0
0,6060,"week",5,"Steve","smokes cigarettes",0
0,6060,"week",5,"Nick","smokes cigarettes",0
0,6060,"week",5,"Kevin","smokes cigarettes",0
0,6060,"week",5,"Lou","smokes cigarettes",0
0,6060,"week",5,"Arnold","smokes cigarettes",0
0,9690,"week",6,"Jim","sell things on eBay",0
0,9690,"week",6,"Bill","sell things on eBay",0
0,9690,"week",6,"Dave","sell things on eBay",0
0,9690,"week",6,"Steve","sell things on eBay",0
0,9690,"week",6,"Nick","sell things on eBay",0
0,9690,"week",6,"Kevin","sell things on eBay",0
0,9690,"week",6,"Lou","sell things on eBay",0
0,9690,"week",6,"Arnold","sell things on eBay",0
0,7371,"week",7,"Jim","volunteers for soup kitchens",0
0,7371,"week",7,"Bill","volunteers for soup kitchens",0
0,7371,"week",7,"Dave","volunteers for soup kitchens",0
0,7371,"week",7,"Steve","volunteers for soup kitchens",0
0,7371,"week",7,"Nick","volunteers for soup kitchens",0
0,7371,"week",7,"Kevin","volunteers for soup kitchens",0
0,7371,"week",7,"Lou","volunteers for soup kitchens",0
0,7371,"week",7,"Arnold","volunteers for soup kitchens",0
0,17968,"week",8,"Jim","goes to the ballet",0
0,17968,"week",8,"Bill","goes to the ballet",0
0,17968,"week",8,"Dave","goes to the ballet",0
0,17968,"week",8,"Steve","goes to the ballet",0
0,17968,"week",8,"Nick","goes to the ballet",0
0,17968,"week",8,"Kevin","goes to the ballet",0
0,17968,"week",8,"Lou","goes to the ballet",0
0,17968,"week",8,"Arnold","goes to the ballet",0
0,8223,"week",9,"Jim","listens to live music",1
0,8223,"week",9,"Bill","listens to live music",2
0,8223,"week",9,"Dave","listens to live music",1
0,8223,"week",9,"Steve","listens to live music",0
0,8223,"week",9,"Nick","listens to live music",1
0,8223,"week",9,"Kevin","listens to live music",0
0,8223,"week",9,"Lou","listens to live music",0
0,8223,"week",9,"Arnold","listens to live music",0
0,7625,"week",10,"Jim","drinks beer",2
0,7625,"week",10,"Bill","drinks beer",1
0,7625,"week",10,"Dave","drinks beer",1
0,7625,"week",10,"Steve","drinks beer",1
0,7625,"week",10,"Nick","drinks beer",2
0,7625,"week",10,"Kevin","drinks beer",0
0,7625,"week",10,"Lou","drinks beer",1
0,7625,"week",10,"Arnold","drinks beer",2
0,6616,"week",11,"Jim","climbs mountains",0
0,6616,"week",11,"Bill","climbs mountains",0
0,6616,"week",11,"Dave","climbs mountains",0
0,6616,"week",11,"Steve","climbs mountains",0
0,6616,"week",11,"Nick","climbs mountains",0
0,6616,"week",11,"Kevin","climbs mountains",0
0,6616,"week",11,"Lou","climbs mountains",0
0,6616,"week",11,"Arnold","climbs mountains",0
0,6415,"week",12,"Jim","hikes",0
0,6415,"week",12,"Bill","hikes",0
0,6415,"week",12,"Dave","hikes",0
0,6415,"week",12,"Steve","hikes",0
0,6415,"week",12,"Nick","hikes",0
0,6415,"week",12,"Kevin","hikes",0
0,6415,"week",12,"Lou","hikes",0
0,6415,"week",12,"Arnold","hikes",0
0,6713,"week",13,"Jim","wears a suit",0
0,6713,"week",13,"Bill","wears a suit",0
0,6713,"week",13,"Dave","wears a suit",0
0,6713,"week",13,"Steve","wears a suit",0
0,6713,"week",13,"Nick","wears a suit",0
0,6713,"week",13,"Kevin","wears a suit",0
0,6713,"week",13,"Lou","wears a suit",0
0,6713,"week",13,"Arnold","wears a suit",0
0,15911,"week",14,"Jim","wears a bra",0
0,15911,"week",14,"Bill","wears a bra",0
0,15911,"week",14,"Dave","wears a bra",0
0,15911,"week",14,"Steve","wears a bra",0
0,15911,"week",14,"Nick","wears a bra",0
0,15911,"week",14,"Kevin","wears a bra",0
0,15911,"week",14,"Lou","wears a bra",0
0,15911,"week",14,"Arnold","wears a bra",0
0,15911,"week",14,"hypothetical","wears a bra",7
0,6714,"week",15,"Jim","sells companies",0
0,6714,"week",15,"Bill","sells companies",0
0,6714,"week",15,"Dave","sells companies",0
0,6714,"week",15,"Steve","sells companies",0
0,6714,"week",15,"Nick","sells companies",0
0,6714,"week",15,"Kevin","sells companies",0
0,6714,"week",15,"Lou","sells companies",0
0,6714,"week",15,"Arnold","sells companies",0
1,32344,"month",1,"Jen","goes to the movies",1
1,32344,"month",1,"Kal","goes to the movies",3
1,32344,"month",1,"Mike","goes to the movies",0
1,32344,"month",1,"Derrin","goes to the movies",0
1,32344,"month",1,"Joseph","goes to the movies",0
1,32344,"month",1,"Daniel","goes to the movies",2
1,32344,"month",1,"Eddy","goes to the movies",2
1,32344,"month",1,"Will","goes to the movies",1
1,18650,"week",2,"Jen","watches professional football",0
1,18650,"week",2,"Kal","watches professional football",3
1,18650,"week",2,"Mike","watches professional football",2
1,18650,"week",2,"Derrin","watches professional football",2
1,18650,"week",2,"Joseph","watches professional football",0
1,18650,"week",2,"Daniel","watches professional football",2
1,18650,"week",2,"Eddy","watches professional football",1
1,18650,"week",2,"Will","watches professional football",1
1,23527,"year",3,"Jen","hikes",5
1,23527,"year",3,"Kal","hikes",5
1,23527,"year",3,"Mike","hikes",0
1,23527,"year",3,"Derrin","hikes",0
1,23527,"year",3,"Joseph","hikes",2
1,23527,"year",3,"Daniel","hikes",3
1,23527,"year",3,"Eddy","hikes",2
1,23527,"year",3,"Will","hikes",1
1,12542,"year",4,"Jen","goes to the ballet",0
1,12542,"year",4,"Kal","goes to the ballet",0
1,12542,"year",4,"Mike","goes to the ballet",0
1,12542,"year",4,"Derrin","goes to the ballet",0
1,12542,"year",4,"Joseph","goes to the ballet",0
1,12542,"year",4,"Daniel","goes to the ballet",0
1,12542,"year",4,"Eddy","goes to the ballet",0
1,12542,"year",4,"Will","goes to the ballet",0
1,20263,"week",5,"Jen","eats peanut butter",0
1,20263,"week",5,"Kal","eats peanut butter",0
1,20263,"week",5,"Mike","eats peanut butter",0
1,20263,"week",5,"Derrin","eats peanut butter",2
1,20263,"week",5,"Joseph","eats peanut butter",2
1,20263,"week",5,"Daniel","eats peanut butter",1
1,20263,"week",5,"Eddy","eats peanut butter",1
1,20263,"week",5,"Will","eats peanut butter",1
1,8983,"year",6,"Jen","eats caviar",0
1,8983,"year",6,"Kal","eats caviar",0
1,8983,"year",6,"Mike","eats caviar",0
1,8983,"year",6,"Derrin","eats caviar",0
1,8983,"year",6,"Joseph","eats caviar",0
1,8983,"year",6,"Daniel","eats caviar",0
1,8983,"year",6,"Eddy","eats caviar",0
1,8983,"year",6,"Will","eats caviar",0
1,13976,"week",7,"Jen","wears socks",7
1,13976,"week",7,"Kal","wears socks",7
1,13976,"week",7,"Mike","wears socks",7
1,13976,"week",7,"Derrin","wears socks",7
1,13976,"week",7,"Joseph","wears socks",7
1,13976,"week",7,"Daniel","wears socks",7
1,13976,"week",7,"Eddy","wears socks",7
1,13976,"week",7,"Will","wears socks",7
1,18239,"week",8,"Jen","drinks coffee",0
1,18239,"week",8,"Kal","drinks coffee",10
1,18239,"week",8,"Mike","drinks coffee",4
1,18239,"week",8,"Derrin","drinks coffee",7
1,18239,"week",8,"Joseph","drinks coffee",0
1,18239,"week",8,"Daniel","drinks coffee",0
1,18239,"week",8,"Eddy","drinks coffee",0
1,18239,"week",8,"Will","drinks coffee",5
1,14598,"year",9,"Jen","sell things on eBay",0
1,14598,"year",9,"Kal","sell things on eBay",1
1,14598,"year",9,"Mike","sell things on eBay",0
1,14598,"year",9,"Derrin","sell things on eBay",0
1,14598,"year",9,"Joseph","sell things on eBay",0
1,14598,"year",9,"Daniel","sell things on eBay",0
1,14598,"year",9,"Eddy","sell things on eBay",0
1,14598,"year",9,"Will","sell things on eBay",0
1,15942,"year",10,"Jen","watches space launches",0
1,15942,"year",10,"Kal","watches space launches",0
1,15942,"year",10,"Mike","watches space launches",0
1,15942,"year",10,"Derrin","watches space launches",0
1,15942,"year",10,"Joseph","watches space launches",0
1,15942,"year",10,"Daniel","watches space launches",0
1,15942,"year",10,"Eddy","watches space launches",0
1,15942,"year",10,"Will","watches space launches",0
1,15942,"year",10,"hypothetical","watches space launches",1
1,25113,"week",11,"Jen","drinks beer",1
1,25113,"week",11,"Kal","drinks beer",1
