workerid,rt,trial_type,stim_type,trial_num,stim_determiner,stim_prevalence,stim_property,response,stim_category
0,4112,truth_conditions,part,0,generic,30,skin,Disagree,morseths
0,2727,truth_conditions,disease,1,generic,10,broken legs,Disagree,blins
0,2767,truth_conditions,accidental,2,generic,70,sore teeth,Disagree,pangolins
0,2584,truth_conditions,color,3,generic,50,violet skin,Disagree,krivels
0,2712,truth_conditions,part,4,generic,10,ears,Disagree,javs
0,2480,truth_conditions,disease,5,generic,50,infected ears,Disagree,wugs
0,4696,truth_conditions,accidental,6,generic,90,sore legs,Disagree,cheebas
0,6200,truth_conditions,color,7,generic,70,silver legs,Agree,ackles
0,1448,truth_conditions,color,8,generic,30,blue claws,Disagree,daiths
0,1608,truth_conditions,vague,9,generic,70,small ears,Agree,grinks
0,2768,truth_conditions,part,10,generic,50,feathers,Disagree,trufts
0,2536,truth_conditions,part,11,generic,70,tails,Agree,ollers
0,1480,truth_conditions,disease,12,generic,30,worn-out claws,Disagree,stups
0,1672,truth_conditions,disease,13,generic,70,burned skin,Agree,frams
0,1288,truth_conditions,color,14,generic,90,yellow fur,Agree,moxes
0,1192,truth_conditions,accidental,15,generic,50,muddy feathers,Disagree,zoovs
0,1272,truth_conditions,color,16,generic,10,orange tails,Disagree,reesles
0,1240,truth_conditions,vague,17,generic,90,curly fur,Agree,mooks
0,1544,truth_conditions,vague,18,generic,30,big claws,Disagree,sapers
0,2184,truth_conditions,disease,19,generic,90,rotten teeth,Agree,crullets
0,1328,truth_conditions,accidental,20,generic,10,itchy tails,Disagree,dorbs
0,2032,truth_conditions,vague,21,generic,50,smooth feathers,Disagree,thups
0,2000,truth_conditions,part,22,generic,90,teeth,Agree,elleps
0,1128,truth_conditions,accidental,23,generic,30,wet fur,Disagree,zorbs
0,1216,truth_conditions,vague,24,generic,10,long teeth,Disagree,taifels
1,7095,truth_conditions,disease,0,generic,30,infected ears,Disagree,reesles
1,2704,truth_conditions,accidental,1,generic,10,dusty skin,Disagree,ollers
1,1463,truth_conditions,disease,2,generic,70,burned skin,Agree,elleps
1,1976,truth_conditions,vague,3,generic,50,long tails,Agree,mooks
1,1684,truth_conditions,disease,4,generic,90,worn-out claws,Agree,dorbs
1,1985,truth_conditions,accidental,5,generic,90,wet fur,Agree,krivels
1,1641,truth_conditions,color,6,generic,70,orange ears,Agree,cheebas
1,2001,truth_conditions,color,7,generic,50,yellow fur,Agree,plovs
1,1835,truth_conditions,accidental,8,generic,30,sore legs,Disagree,taifels
1,1776,truth_conditions,disease,9,generic,50,broken legs,Agree,lorches
1,1500,truth_conditions,color,10,generic,30,orange tails,Disagree,javs
1,1873,truth_conditions,part,11,generic,30,tails,Disagree,trufts
1,2059,truth_conditions,color,12,generic,10,purple feathers,Disagree,kazzes
1,1800,truth_conditions,part,13,generic,50,claws,Agree,luzaks
1,1730,truth_conditions,part,14,generic,10,legs,Disagree,frams
1,1655,truth_conditions,part,15,generic,70,teeth,Agree,moxes
1,1338,truth_conditions,accidental,16,generic,70,muddy feathers,Agree,zoovs
1,1191,truth_conditions,vague,17,generic,90,rough skin,Agree,zorbs
1,1620,truth_conditions,disease,18,generic,10,torn tails,Disagree,pangolins
1,2210,truth_conditions,vague,19,generic,10,curly fur,Disagree,sapers
1,1647,truth_conditions,part,20,generic,90,feathers,Agree,stups
1,1464,truth_conditions,color,21,generic,90,violet skin,Agree,morseths
1,1809,truth_conditions,vague,22,generic,30,big claws,Disagree,wugs
1,1441,truth_conditions,accidental,23,generic,50,cracked claws,Agree,feps
1,1630,truth_conditions,vague,24,generic,70,long teeth,Agree,glippets
2,8170,truth_conditions,part,0,generic,70,claws,Agree,reesles
2,5316,truth_conditions,color,1,generic,50,orange tails,Agree,morseths
2,2920,truth_conditions,disease,2,generic,70,torn feathers,Agree,grinks
2,3315,truth_conditions,vague,3,generic,70,small ears,Agree,luzaks
2,4573,truth_conditions,accidental,4,generic,30,wet fur,Disagree,kazzes
2,3687,truth_conditions,part,5,generic,90,fur,Agree,plovs
2,3631,truth_conditions,color,6,generic,70,yellow fur,Agree,feps
2,3000,truth_conditions,disease,7,generic,10,torn tails,Disagree,zoovs
2,3512,truth_conditions,vague,8,generic,10,curly fur,Disagree,ackles
2,7280,truth_conditions,part,9,generic,10,legs,Disagree,dorbs
2,3823,truth_conditions,vague,10,generic,50,big claws,Agree,javs
2,3208,truth_conditions,accidental,11,generic,10,sore teeth,Disagree,frams
2,4216,truth_conditions,vague,12,generic,30,long legs,Disagree,mooks
2,2719,truth_conditions,vague,13,generic,90,long teeth,Agree,glippets
2,3967,truth_conditions,accidental,14,generic,70,sore legs,Agree,thups
2,4816,truth_conditions,disease,15,generic,50,worn-out claws,Agree,daiths
2,4055,truth_conditions,accidental,16,generic,50,dusty skin,Agree,crullets
2,2505,truth_conditions,color,17,generic,90,pink teeth,Agree,taifels
2,3071,truth_conditions,accidental,18,generic,90,swollen ears,Agree,moxes
2,3759,truth_conditions,disease,19,generic,90,fungus-covered fur,Agree,lorches
2,5688,truth_conditions,part,20,generic,30,teeth,Disagree,cheebas
2,4489,truth_conditions,color,21,generic,30,orange ears,Disagree,ollers
2,5264,truth_conditions,disease,22,generic,30,burned skin,Disagree,zorbs
2,4127,truth_conditions,part,23,generic,50,skin,Agree,krivels
2,2295,truth_conditions,color,24,generic,10,blue claws,Disagree,blins
3,6732,truth_conditions,part,0,generic,10,tails,Agree,reesles
3,5106,truth_conditions,vague,1,generic,90,long tails,Agree,daiths
3,5049,truth_conditions,accidental,2,generic,90,sore teeth,Agree,crullets
